epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,6261,0.89393,0.36529,0.98817,0.98119,0.95039,0.97059,0.68601,1.0599,0.36942,1.0467,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6514.16,0.87878,0.34765,0.98816,0.98282,0.94806,0.97042,0.68663,1.06167,0.3715,1.04636,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6578.41,0.86349,0.32809,0.98618,0.98523,0.9467,0.97046,0.6866,1.06338,0.3723,1.04715,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6642.2,0.85814,0.32271,0.97936,0.98345,0.94749,0.96906,0.68537,1.06396,0.3715,1.0478,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6705.6,0.85284,0.32021,0.97872,0.98809,0.94483,0.96985,0.68568,1.06452,0.37181,1.04729,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6768.83,0.84973,0.31894,0.97887,0.9866,0.94487,0.9697,0.68579,1.06496,0.3714,1.04784,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6832.73,0.83861,0.31334,0.96999,0.9863,0.94624,0.97158,0.68635,1.06502,0.3709,1.04847,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6896.96,0.83576,0.31258,0.97067,0.98506,0.9467,0.9716,0.68719,1.06463,0.37182,1.04881,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6961.79,0.83505,0.31008,0.97322,0.98852,0.94158,0.97071,0.68609,1.06538,0.37197,1.04895,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7025.56,0.82986,0.30888,0.96906,0.98898,0.94075,0.96955,0.68596,1.06576,0.37179,1.04846,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,7089.6,0.82813,0.30751,0.97089,0.98571,0.94258,0.96918,0.68561,1.06472,0.37217,1.04823,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
